,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
24,2017-11-14 07:58:10,,2017-11-14 09:33:32,,0 days 01:35:21.000000000,0 days 01:33:36.000000000,49.23,,,DC Fast,1B,,158787,,Plug Out at Station,1510671481,,
25,2017-11-14 20:45:01,,2017-11-14 20:47:15,,0 days 00:02:11.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1B,,158787,,Customer,24,,
26,2017-11-14 20:47:48,,2017-11-14 22:18:07,,0 days 01:30:19.000000000,0 days 01:29:52.000000000,45.603,,,DC Fast,1B,,158787,,Plug Out at Station,25,,
27,2017-11-22 15:00:56,,2017-11-22 15:58:13,,0 days 00:57:16.000000000,0 days 00:57:12.000000000,34.518,,,DC Fast,1B,,158787,,Plug Out at Station,1511388051,,
28,2017-11-29 10:33:08,,2017-11-29 12:30:52,,0 days 01:57:44.000000000,0 days 01:57:12.000000000,55.872,,,DC Fast,1B,,158787,,Plug Out at Station,26,,
29,2018-01-22 11:43:34,,2018-01-22 11:50:55,,0 days 00:07:21.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1B,,158787,,Plug Out at Station,27,,
30,2018-01-22 11:51:09,,2018-01-22 13:13:50,,0 days 01:22:41.000000000,0 days 01:21:44.000000000,33.156,,,DC Fast,1B,,158787,,Customer,28,,
31,2018-01-24 11:04:10,,2018-01-24 11:06:22,,0 days 00:02:12.000000000,0 days 00:00:04.000000000,0.0,,,DC Fast,1B,,158787,,Outlet Offline,29,,
32,2018-01-24 11:06:42,,2018-01-24 11:08:44,,0 days 00:02:02.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,30,,
33,2018-01-24 11:14:43,,2018-01-24 11:16:46,,0 days 00:02:03.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,31,,
34,2018-01-24 11:18:48,,2018-01-24 12:40:53,,0 days 01:22:05.000000000,0 days 01:21:16.000000000,37.257,,,DC Fast,1B,,158787,,Plug Out at Station,1516817923,,
35,2018-02-26 07:26:58,,2018-02-26 08:40:12,,0 days 01:13:14.000000000,0 days 01:12:36.000000000,36.128,,,DC Fast,1B,,158787,,Outlet Offline,32,,
36,2018-02-26 19:58:05,,2018-02-26 20:41:24,,0 days 00:43:19.000000000,0 days 00:41:44.000000000,27.636,,,DC Fast,1B,,158787,,Outlet Offline,33,,
37,2018-02-28 23:46:09,,2018-03-01 00:31:37,,0 days 00:45:28.000000000,0 days 00:45:19.000000000,31.449,,,DC Fast,1A,,158787,,Plug Out at Station,34,,
38,2018-03-07 21:05:12,,2018-03-07 21:59:51,,0 days 00:54:39.000000000,0 days 00:51:12.000000000,26.616999999999997,,,DC Fast,1A,,158787,,Plug Out at Station,35,,
39,2018-03-10 19:45:54,,2018-03-10 20:36:15,,0 days 00:50:21.000000000,0 days 00:50:16.000000000,35.196999999999996,,,DC Fast,1B,,158787,,Plug Out at Station,1520736347,,
40,2018-03-11 08:48:31,,2018-03-11 10:27:35,,0 days 01:39:04.000000000,0 days 01:38:44.000000000,34.067,,,DC Fast,1A,,158787,,Plug Out at Station,36,,
41,2018-03-11 17:58:20,,2018-03-11 19:13:29,,0 days 01:15:09.000000000,0 days 01:14:51.000000000,46.549,,,DC Fast,1B,,158787,,Plug Out at Station,37,,
42,2018-03-14 12:03:20,,2018-03-14 13:49:43,,0 days 01:46:23.000000000,0 days 01:45:48.000000000,48.011,,,DC Fast,1B,,158787,,Plug Out at Station,38,,
43,2018-03-18 12:15:31,,2018-03-18 12:31:01,,0 days 00:15:30.000000000,0 days 00:14:32.000000000,4.013,,,DC Fast,1B,,158787,,Outlet Offline,1521396924,,
44,2018-03-18 12:44:45,,2018-03-18 15:00:58,,0 days 02:16:13.000000000,0 days 02:15:51.000000000,37.808,,,DC Fast,1B,,158787,,Plug Out at Station,1521398682,,
45,2018-03-25 15:01:45,,2018-03-25 16:22:45,,0 days 01:21:00.000000000,0 days 01:20:44.000000000,45.916000000000004,,,DC Fast,1B,,158787,,Plug Out at Station,1522011700,,
46,2018-03-28 21:28:08,,2018-03-28 22:45:54,,0 days 01:17:46.000000000,0 days 01:17:19.000000000,35.486999999999995,,,DC Fast,1B,,158787,,Plug Out at Station,1522294083,,
47,2018-03-30 18:56:44,,2018-03-30 19:01:59,,0 days 00:05:15.000000000,0 days 00:00:16.000000000,0.0,,,DC Fast,1B,,158787,,Outlet Offline,39,,
48,2018-03-30 19:02:40,,2018-03-30 19:55:39,,0 days 00:52:59.000000000,0 days 00:52:40.000000000,36.113,,,DC Fast,1B,,158787,,Plug Out at Station,40,,
49,2018-03-31 18:48:19,,2018-03-31 19:40:48,,0 days 00:52:29.000000000,0 days 00:52:04.000000000,31.468000000000004,,,DC Fast,1B,,158787,,Plug Out at Station,41,,
50,2018-04-05 09:41:31,,2018-04-05 09:43:33,,0 days 00:02:02.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,42,,
51,2018-04-05 20:56:03,,2018-04-05 21:56:08,,0 days 01:00:05.000000000,0 days 00:58:59.000000000,35.661,,,DC Fast,1B,,158787,,Outlet Offline,43,,
52,2018-04-07 12:16:41,,2018-04-07 13:15:35,,0 days 00:58:54.000000000,0 days 00:58:43.000000000,35.698,,,DC Fast,1B,,158787,,Customer,44,,
53,2018-04-07 13:54:04,,2018-04-07 13:56:04,,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,1523130837,,
54,2018-04-12 18:31:26,,2018-04-12 19:25:50,,0 days 00:54:24.000000000,0 days 00:54:11.000000000,31.252,,,DC Fast,1A,,158787,,Plug Out at Station,45,,
55,2018-04-16 01:01:36,,2018-04-16 07:25:07,,0 days 06:23:31.000000000,0 days 06:23:15.000000000,31.039,,,DC Fast,1A,,158787,,Plug Out at Station,46,,
56,2018-04-24 16:51:07,,2018-04-24 18:23:00,,0 days 01:31:53.000000000,0 days 01:31:23.000000000,48.501000000000005,,,DC Fast,1B,,158787,,Plug Out at Station,47,,
57,2018-04-25 16:21:27,,2018-04-25 17:31:47,,0 days 01:10:20.000000000,0 days 01:09:35.000000000,41.395,,,DC Fast,1B,,158787,,Plug Out at Station,1524694881,,
58,2018-04-25 19:27:59,,2018-04-25 20:46:19,,0 days 01:18:20.000000000,0 days 01:17:56.000000000,44.613,,,DC Fast,1B,,158787,,Plug Out at Station,48,,
59,2018-04-27 16:15:56,,2018-04-27 16:18:06,,0 days 00:02:10.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1B,,158787,,Plug Out at Station,1524867347,,
60,2018-04-27 16:18:11,,2018-04-27 16:59:52,,0 days 00:41:41.000000000,0 days 00:41:19.000000000,29.03,,,DC Fast,1B,,158787,,Plug Out at Station,1524867489,,
61,2018-04-27 17:03:25,,2018-04-27 17:33:50,,0 days 00:30:25.000000000,0 days 00:29:36.000000000,21.334,,,DC Fast,1B,,158787,,Outlet Offline,1524870198,,
62,2018-04-27 17:49:21,,2018-04-27 18:23:22,,0 days 00:34:01.000000000,0 days 00:33:56.000000000,17.98,,,DC Fast,1B,,158787,,Plug Out at Station,1524872955,,
63,2018-05-06 06:50:02,,2018-05-06 06:51:19,,0 days 00:01:17.000000000,0 days 00:00:16.000000000,0.0,,,DC Fast,1B,,158787,,Outlet Offline,1525610997,,
