,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
85,9.138552582551687e-137,-313.24165572802974,1.0759385096766982,12.822246115414195,0.5801951354826406,0.9882844369521389,1.8029044464948027,-2.31186305051109,0.05315231533830353,-2.9345936128042607,0
86,9.298816102586143e-147,-336.2501215788661,1.0859697340447927,12.281741843492718,0.4645250454091636,0.6660522044114934,5.4022153953661025,-0.9940606499536739,0.016886307707676188,-4.0812521802503685,0
87,4.664924294817251e-120,-274.77013955345285,0.515713341137387,8.410765262252587,-0.3205641631996968,1.0188254860425285,4.632272504989434,-1.1992221238377068,0.010264599927862172,-4.579054203663146,0
88,3.621052088901388e-119,-272.72086145038594,0.1858366704515063,5.403940369893388,-0.9936232183406186,2.042630672916286,8.710323787653401,-0.2593797341797887,0.03711269947489102,-3.293796064035945,0
89,1.5541688230465773e-118,-271.2641000895135,0.4731511783113581,7.800333185010018,-0.4472421923093888,1.7420025037030142,8.487977868912495,-0.3047410980496087,0.01357126078521359,-4.2998008997081225,0
90,2.938442401522277e-120,-275.23233151372665,0.4573126378136477,6.981715330109247,-0.6230602464348773,1.6129363109414263,3.338669875537192,-1.6075179861426996,0.025767703143103605,-3.658633387389686,0
91,3.1264509606507716e-120,-275.1703126764462,0.3766011325471527,6.912464293446941,-0.6383341031571924,1.426089321452863,2.9004164214816393,-1.7741997907804565,0.017307757421971857,-4.056600472087957,0
92,8.03860463970008e-120,-274.22595564343266,1.0146569622659205,18.422461251976486,2.457704762295453,0.5769986987269159,4.446084701147589,-1.2522885281887277,0.004390420279896855,-5.428330320737828,0
93,1.1959341353130017e-119,-273.828698483088,0.8087807090533528,17.182325181111715,1.807969237194143,0.9733067494445513,2.0592695169420017,-2.16472225743225,0.007359188090005549,-4.911805666184315,0
94,8.533754117677261e-120,-274.1661817870185,1.1879695588398524,17.424265965302986,1.9117292748706283,1.3493954670466957,3.280096613866885,-1.62872695188907,0.00905289225682744,-4.7046709859373825,0
95,1.1233449358611452e-120,-276.1939003749829,0.1432556039190123,1.8332069793906103,-2.293528487376997,1.8104794938727178,11.091254718023666,0.21912352431036822,0.032866683968137245,-3.4152957796278836,0
96,7.287361663492623e-121,-276.6266546834942,0.15409749438237139,2.9794990377523263,-1.7426633782028922,1.7616850393576775,10.785344882131842,0.15739309302028262,0.04591240071215082,-3.0810200303837303,0
97,1.241646656796773e-104,-239.25241122367865,0.2671991049004432,4.924850094176295,-1.118753850135267,1.7175696192034369,7.80033579290548,-0.44724164421036955,0.0018164754672490412,-6.310857211899838,0
98,2.270086595868699e-105,-240.95161678564932,0.28279287251354185,4.555583165617591,-1.220894017995969,0.8811811339123927,2.199613686143212,-2.09093841235055,0.057798265343927575,-2.850796515104889,0
